Date Key,Store Key,Product Key,Product Department,Product Description,Transaction No.#,Sales Amount(CAD),Units Sold
20220712,3,P032,Wearable Tech,Product 36,TN0001,2806.54,3
20220902,6,P019,Action Cameras,Product 10,TN0002,1724.84,6
20230424,2,P017,Drones,Product 48,TN0003,3130.89,1
20220406,2,P038,Gaming Consoles,Product 27,TN0004,863.44,8
20230203,5,P050,Wearable Tech,Product 5,TN0005,1567.8,2
20230306,6,P014,Gaming Consoles,Product 47,TN0006,3072.54,7
20221009,5,P027,Smartphones,Product 13,TN0007,2221.61,6
20220514,7,P005,Gaming Consoles,Product 37,TN0008,419.84,8
20221213,6,P034,Gaming Consoles,Product 22,TN0009,1176.52,2
20230410,4,P035,Audio Devices,Product 10,TN0010,1423.56,3
20220714,6,P018,Televisions,Product 44,TN0011,1442.89,6
20230619,2,P020,Smart Home,Product 26,TN0012,503.12,10
20231029,1,P005,Gaming Consoles,Product 33,TN0013,4939.0,2
20230414,6,P012,Drones,Product 49,TN0014,1558.64,1
20230919,7,P040,Wearable Tech,Product 9,TN0015,112.99,7
20221114,4,P029,Audio Devices,Product 15,TN0016,867.09,5
20230506,4,P041,Gaming Consoles,Product 42,TN0017,1216.29,9
20220305,5,P008,Drones,Product 7,TN0018,1057.76,5
20220313,1,P036,E-readers,Product 35,TN0019,3480.8,8
20230729,5,P027,Computing Devices,Product 42,TN0020,2008.73,8
20230517,4,P041,Drones,Product 25,TN0021,3852.56,10
20231222,4,P025,Wearable Tech,Product 50,TN0022,1338.21,1
20230909,4,P005,VR Devices,Product 22,TN0023,2276.15,6
20220203,4,P018,Drones,Product 12,TN0024,4873.32,3
20220726,3,P022,Gaming Consoles,Product 11,TN0025,279.13,9
20220420,3,P020,Gaming Consoles,Product 17,TN0026,2771.24,2
20220316,1,P004,Action Cameras,Product 48,TN0027,3861.17,9
20221103,3,P024,Drones,Product 49,TN0028,1428.3,4
20230208,2,P008,Action Cameras,Product 34,TN0029,1746.76,4
20230702,1,P026,VR Devices,Product 48,TN0030,1470.84,10
20220614,6,P036,Audio Devices,Product 21,TN0031,4145.51,1
20220911,4,P011,Imaging Devices,Product 21,TN0032,1201.46,6
20230614,7,P028,Televisions,Product 8,TN0033,507.72,5
20230225,6,P048,Drones,Product 14,TN0034,2116.14,1
20221103,7,P042,VR Devices,Product 31,TN0035,604.96,5
20221210,2,P050,Televisions,Product 22,TN0036,485.62,4
20220103,2,P036,Drones,Product 50,TN0037,168.33,7
20221102,6,P047,Drones,Product 43,TN0038,471.23,9
20220620,5,P010,Computing Devices,Product 14,TN0039,1455.24,8
20230724,1,P049,Drones,Product 23,TN0040,4482.44,4
20230308,4,P041,Action Cameras,Product 42,TN0041,4413.46,8
20220609,5,P021,Audio Devices,Product 2,TN0042,486.7,1
20230401,7,P005,Imaging Devices,Product 31,TN0043,3664.66,6
